state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
HI,Hawaii,8000,87,696000,84000,0.87,606000,2001,21.30895,-157.826182,HI_2001,70.21,77.06,21.23,25.031
ID,Idaho,1.00E+05,46,4600000,1610000,0.67,3082000,2001,43.613739,-116.237651,ID_2001,20.81,67.76,-6.219,19.866
IL,Illinois,6000,76,456000,251000,1.58,720000,2001,39.78325,-89.650373,IL_2001,26.36,76.81,-3.134,24.897
IN,Indiana,7000,76,532000,186000,0.92,489000,2001,39.790942,-86.147685,IN_2001,27.36,75.28,-2.579,24.047
IA,Iowa,33000,51,1683000,875000,0.75,1262000,2001,41.590939,-93.620866,IA_2001,18.89,76.46,-7.283,24.702
KS,Kansas,13000,51,663000,530000,0.96,636000,2001,-93.620866,-95.69,KS_2001,30.53,83.78,-0.815,28.769
KY,Kentucky,4000,78,312000,125000,1.41,440000,2001,38.197274,38.197274,KY_2001,31.9,77.32,-0.057,25.177
LA,Louisiana,45000,106,4770000,572000,0.6,2862000,2001,30.45809,-91.140229,LA_2001,46.1,83.14,7.836,28.409
ME,Maine,11000,20,220000,106000,0.79,174000,2001,44.323535,-69.765261,ME_2001,14.76,67.24,-9.577,19.579
MD,Maryland,4000,46,184000,55000,1.6,294000,2001,38.972945,-76.501157,MD_2001,32.71,76.46,0.394,24.702
MA,Massachusetts,0,0,0,0,0,0,2001,0,0,MA_2001,0,0,0,0
MI,Michigan,76000,60,4560000,2827000,0.81,3694000,2001,42.7335,-84.5467,MI_2001,22.71,70.17,-5.161,21.205
MN,Minnesota,135000,81,10935000,1859000,0.65,7108000,2001,44.95,-93.094,MN_2001,7.42,70.8,-13.658,21.556
MS,Mississippi,17000,66,1122000,224000,0.89,999000,2001,32.32,-90.207,MS_2001,41.76,82.14,5.42,27.858
MO,Missouri,22000,61,1342000,336000,0.71,953000,2001,38.572954,-92.189283,MO_2001,29.42,79.98,-1.432,26.653
MT,Montana,136000,102,13872000,4578000,0.67,9294000,2001,46.595805,-112.027031,MT_2001,16.37,69.19,-8.686,20.663
NE,Nebraska,43000,48,2064000,1115000,0.72,1486000,2001,40.809868,-96.675345,NE_2001,21.97,77.91,-5.575,25.505
NV,Nevada,9000,50,450000,36000,2.14,963000,2001,39.160949,-119.753877,NV_2001,28.91,74.43,-1.716,23.571
NH,New Hampshire,0,0,0,0,0,0,2001,0,0,NH_2001,0,0,0,0
NJ,New Jersey,11000,34,374000,71000,0.85,318000,2001,40.221741,-74.756138,NJ_2001,29.61,75.43,-1.328,24.125
NM,New Mexico,10000,70,7.00E+05,350000,0.66,462000,2001,35.667231,-105.964575,NM_2001,31.72,75.82,-0.156,24.347
NY,New York,53000,70,3710000,1781000,0.79,2931000,2001,42.659829,-73.781339,NY_2001,23.21,71.58,-4.885,21.99
